date,age,stack,exp,salary,location
2015-07-14,25,Java,1,7 500 pln brutto uop,Warszawa
2015-07-14,25,Tester Manualny,2.5,5 000 pln netto ?,Kraków
2015-07-14,32,iOS,10,7 600 pln netto uop,Szczecin
2015-07-14,28,Java,0.08,3 500 pln netto uop,Warszawa
2015-07-15,26,.NET,0.75,3 500 pln netto uop,Wrocław
2015-07-15,20,.NET,0.58,1 300 pln netto uz,Śląsk
2015-07-15,24,Java,1,2 800 pln netto ?,Kraków
2015-07-31,22,.NET,3,16 000 pln netto b2b,Warszawa
2015-08-01,27,Java,4,12 000 pln netto b2b,Warszawa
2015-08-02,22,Java,1.5,5 000 pln brutto uop,Wrocław
2015-08-04,30,Java,7,9 500 pln brutto ?,Lublin
2015-08-11,23,C++,1,3 200 pln brutto ?,Kraków
2015-08-15,21,Java,1,5 500 pln netto uz,Warszawa
2015-08-18,29,Python,2,7 000 pln brutto uop,Wrocław
2015-08-18,22,Java,0.42,3 000 pln netto uop,Gliwice
2015-08-22,32,.NET,2.5,10 000 pln netto ?,Gdańsk
2015-08-22,28,Java,3,7 500 pln netto uop,Poznań
2015-08-26,26,Java,4,9 500 pln brutto uop,Kraków
2015-08-27,26,.NET,3,11 500 pln brutto uop,Gdańsk
2015-08-28,22,iOS,0.67,7 200 pln netto b2b,Gdynia
2015-08-28,28,Tester,4,7 300 pln netto uop,Kraków
2015-09-01,26,C++,2.5,7 500 pln brutto ?,Kraków
2015-09-04,21,PHP,0.5,3 000 pln netto ?,Warszawa
2015-09-06,21,Java,1,3 600 pln netto ?,Warszawa
2015-09-06,25,PHP,3,5 900 pln brutto uop,Poznań
2015-09-08,26,.NET,2,5 400 pln netto ?,Kraków
2015-09-10,28,Tester,4.5,6 700 pln brutto ?,Gdańsk
2015-09-17,25,Android,4,24 880 pln netto b2b,Gdańsk
2015-10-02,22,C++,0,5 000 pln netto ?,Wrocław
2015-10-04,27,Java,3,8 500 pln brutto uop,Katowice
2015-10-14,28,Java,5,7 500 pln brutto ?,Poznań
2015-10-16,24,Javascript,2,6 500 pln netto b2b,Katowice
2015-10-19,25,Android,3,15 000 pln netto b2b,Warszawa
2015-10-22,22,Java,0.33,2 300 pln netto ?,Polska B
2015-10-23,31,Javascript,0.5,2 700 pln netto uop,"Pomorskie, Poza Obszarem Trojmiasta"
2015-10-25,22,Java,0,3 250 pln brutto uop,Kraków
2015-10-28,24,Junior,0.42,2 500 pln netto ?,Polska B
2015-11-01,20,Analityk,0.25,3 500 pln netto ?,Warszawa
2015-11-02,22,.NET,2,6 400 pln netto ?,Warszawa
2015-11-03,22,Android,0,2 800 pln netto uop,Kraków
2015-11-07,27,Tester Manualny,4,7 500 pln brutto uop,Kraków
2015-11-07,25,Java,3,10 300 pln brutto uop,Kraków
2015-11-10,20,Java,0,2 000 pln brutto uz,Wrocław
2015-11-16,23,Java,0,2 200 pln netto uz,Katowice
2015-11-22,23,Java,2.5,3 500 pln netto uz,Kraków
2015-11-28,27,Javascript,0,3 000 pln netto ?,Warszawa
2015-11-28,24,Xamarin Developer,2.75,8 000 pln netto ?,Warszawa
2015-11-28,22,Embedded,0.83,2 200 pln netto ?,Warszawa
2015-12-01,29,Java,4,10 500 pln netto b2b,Warszawa
2015-12-03,26,Java,0,2 200 pln netto uz,Wrocław
2015-12-04,21,Embedded,0.5,2 200 pln netto uod,Warszawa
2015-12-04,21,Android,1.67,7 600 pln netto b2b,Warszawa
2015-12-04,22,Java,1.5,1 300 pln netto uz,Kraków
2015-12-04,30,Visual Basic,2,5 500 pln brutto ?,Kraków
2015-12-11,28,iOS,1,6 500 pln netto b2b,Rzeszów
2015-12-14,24,Tester,0.42,3 000 pln brutto ?,Kraków
2015-12-18,22,Javascript,0.58,4 000 pln netto uz,Warszawa
2015-12-22,24,Java,0.42,3 800 pln netto uz,Warszawa
2015-12-24,25,Tester,1.25,11 000 pln netto b2b,Kraków
2015-12-29,20,Javascript,0,2 560 pln brutto ?,Wrocław
2015-12-30,19,Java,0.58,3 550 pln netto uop,Wrocław
2015-12-31,25,Java,2,6 056 pln brutto uop,Kraków
2016-01-05,25,Android,3,8 500 pln brutto uop,Gdańsk
2016-01-05,23,Junior Dev,0.67,3 800 pln netto ?,Bydgoszcz
2016-01-05,31,Javascript,1.5,10 000 pln netto b2b,Kraków
2016-01-07,28,Tester,4,11 000 pln brutto uop,Kraków
